danceability,energy,loudness,tempo,valence,acousticness,cluster,id
0.494,0.616,-5.828,88.394,0.39,0.47,0,22auw1DYQlYh5XgKv5FtNx
0.451,0.181,-14.357,89.726,0.257,0.917,18,7LU69DVvvm8SXa3f4R7qzH
0.607,0.399,-12.163,75.476,0.688,0.892,5,0EAvKXjChn1Rc3QmfYXevy
0.331,0.639,-9.07,84.545,0.428,0.253,12,2RAXAF7qjvn0FsRuMMTlBx
0.825,0.457,-9.366,129.994,0.85,0.738,7,74TVOIh9i0lO35JX4oui7X
0.481,0.279,-15.363,92.589,0.101,0.734,18,4Gc1SJ7eN65EcTvDMPcCzz
0.468,0.171,-12.965,135.655,0.156,0.993,13,0U9oiRl4hYwORmWwkYihZN
0.302,0.313,-14.266,152.25,0.512,0.879,17,7HdDZScUII7zKRQKqXKUrH
0.51,0.222,-17.092,153.734,0.36,0.987,17,0YRYs1HSkie0eZ02ON4euX
0.445,0.585,-7.785,124.662,0.212,0.018,3,5McQwoSnNSGyZlsikrFQDZ
0.387,0.254,-11.808,131.978,0.305,0.724,13,3P23teua73GJGmG8vKTv2Q
0.306,0.229,-18.818,106.844,0.039,0.992,1,2DmRw6o0JSOvznQe9UGuiD
0.836,0.513,-9.153,96.041,0.575,0.412,19,57RjBtEPLGPacFQRs4N9Ca
0.545,0.365,-8.97,150.125,0.233,0.136,3,3b9xmyHRcolDEoaECLJ3OF
0.497,0.879,-5.531,131.82,0.563,0.216,10,7iV2w73aB3oL7UWgEAWuiN
0.577,0.648,-8.259,113.082,0.109,0.414,0,5LT0mW0LPOF4dn0EGlMW3a
0.556,0.486,-7.899,79.866,0.403,0.594,5,2ItXZP9iAfOtoASybQIOJd
0.385,0.43,-10.558,150.846,0.202,0.583,8,2PvkmAPAOMYdRU5DDmFaxV
0.55,0.74,-8.83,122.277,0.522,0.172,14,6kREzaEnJBhSGeWxeQSe7H
0.686,0.47,-10.203,100.009,0.297,0.536,5,4fuFDRwSnpcU7xfeSrZHrr
0.463,0.419,-10.548,137.046,0.0968,0.499,8,6aR8J2wAdRLwbUtmWkqQuj
0.303,0.291,-13.205,135.056,0.148,0.849,13,1upEynw2Rpcp7IKvihjQW1
0.511,0.102,-13.674,106.382,0.0693,0.903,13,3ubMPPsS9YSPDnWNhtQdHF
0.662,0.987,-1.808,99.999,0.0479,0.00431,9,3CW9KBOZUPEcEpjGYE1xW5
0.533,0.966,-0.707,99.963,0.14,0.047,9,6ORIjEQQU6jIIGhCscs5y7
0.409,0.951,-2.123,187.997,0.104,0.00263,15,6dSWJAPcVBn8TPrKqla5LA
0.258,0.921,-3.912,157.797,0.193,0.117,15,5v5rbWpEf9toQLUmMo1JdW
0.518,0.939,-1.603,100.066,0.0723,0.00499,9,6GN7ZWNNqgVZl7t3dgH6ot
0.223,0.981,-0.885,189.586,0.133,0.00336,15,3aPsBE6I6l8eWZB3LN0AdG
0.685,0.754,-5.237,180.009,0.186,0.0622,3,1EBbJK4lkT2dpsgZoaioRD
0.598,0.988,1.147,104.952,0.129,0.142,9,4SGwV4zIwcdGYybJvAj2kz
0.544,0.98,-3.079,100.014,0.116,0.000122,9,0pTxkc8DLhLexqfATjm4Yu
0.541,0.931,-1.832,94.995,0.193,0.000825,9,4jF9Df8yhktHGaRV4UwQ8r
0.746,0.973,-1.268,95.011,0.671,0.00277,14,0kBjy2MP0fx0gqHfIDSy23
0.653,0.971,0.037,99.952,0.185,0.00726,9,4m8YFY4i24ndKnPxpbyNSh
0.399,0.975,-2.489,180.077,0.15,0.0575,15,7Hqzl4HDknxOZTUzWb9duw
0.648,0.938,-2.302,102.481,0.0388,0.00517,9,2xWUGV4FHZkSuB89667jrr
0.304,0.997,-1.444,199.977,0.0707,0.128,15,1uRTpjcx6qdbo9NPWosv8H
0.718,0.985,-0.155,160.045,0.357,0.017,10,647e5w5pkhyX0XTZHRJK4m
0.648,0.976,-0.514,95.141,0.141,0.0203,9,7mXYCi1wA8n8zBN0ud211g
0.71,0.941,-0.34,105.0,0.154,0.00433,9,4DKSnd7K0T9C7xnhIfeRnB
0.535,0.984,-0.281,181.955,0.445,0.0154,10,14IsD2FgLmBaGVsbCm1oIE
0.562,0.985,-1.851,159.99,0.483,0.0471,10,2MkEOJ1yZ1wBk1Sx022OTo
0.626,0.956,-2.299,94.962,0.28,0.02,9,4Tz5h4M9dEVTJPk1x2kImp
0.707,0.989,-1.307,99.987,0.272,0.126,9,4jp0Z4REkbEeGmSgTlf18C
0.572,0.974,-1.559,95.01,0.268,0.052,9,3aD91A4Lk9uGAcyk3fhYsW
0.514,0.949,-0.737,92.5,0.153,0.0104,9,2QXxOoPaqduErHktm3wmRu
0.535,0.969,-0.24,160.066,0.306,0.121,15,4KO7NEzBt47IkcV5MdgICy
0.498,0.954,-3.089,177.916,0.157,0.0569,15,3s3TQQciJdZ6ZlKJoZjdHp
0.468,0.972,-0.576,100.014,0.156,0.0181,9,1tuBppcw5aSqMNnGUmXcid
0.577,0.923,-2.1,99.981,0.0353,0.00594,9,0TYBkC9jZ5b8FPW7kn673t
0.665,0.891,-6.838,99.819,0.294,0.11,0,1yDNPqk30hDMY2wTPuqQiu
0.696,0.915,-3.057,94.991,0.452,0.0442,14,7pANE2n751S0dmh0WJeC87
0.59,0.992,-0.279,97.302,0.0954,0.0132,9,5wvfLTKIewrRfrZJRs3Qqf
0.596,0.985,-0.915,160.048,0.514,0.0119,10,7mTyKvhmh3SiW0uOuqzRPZ
0.584,0.975,-1.911,95.015,0.139,0.0156,9,4mmfmBwioCjlXjkklzXzHx
0.53,0.903,-2.849,94.978,0.132,0.000201,9,3NXA25q68QQgGVKPx4SIhs
0.428,0.979,-0.668,94.986,0.24,0.202,9,7LSbuUA9AtvZqec21ajsfQ
0.457,0.972,-1.971,94.987,0.135,0.0431,9,2EHSBfC2epl3BXYR2uYrFd
0.636,0.885,-0.383,97.494,0.227,0.000371,9,5avzhrNSqYgb4juAOzwyEz
0.636,0.981,0.199,99.951,0.0392,0.0184,9,7ecePzsLSoELyuQ3ZyKqMU
0.64,0.984,-1.191,100.049,0.124,0.0742,9,6uWksA4RzIKGlHNg4of8pV
0.55,0.998,0.289,194.996,0.0934,0.0322,15,7qZhWZkh309jgVao0Jo8DO
0.429,0.942,-3.451,102.114,0.16,0.00394,9,7dqpISlr5xVC4eDID1jc5c
0.644,0.971,-1.767,104.964,0.224,0.0522,9,7dKBsM3Tp2dXPybxvCes9P
0.555,0.901,-3.483,95.029,0.232,0.00416,9,33jVtnlOdTUVN6Fc6MTSIS
0.429,0.84,-3.012,99.147,0.0353,0.000223,9,3IxNbTPp5F97s6zxD3Ty0M
0.656,0.97,-1.08,94.981,0.555,0.00253,14,4vaXwFEcHq4yBTMmRBdK35
0.535,0.961,-1.915,100.048,0.355,0.163,9,2Ja6dTeqsDx8YFAR1ojmpx
0.651,0.981,-0.855,104.957,0.151,0.191,9,4GbecipoI4oyDE148vjkde
0.643,0.987,-1.348,97.484,0.273,0.109,9,6YLTwVpwO2OwuKPq5MC5oe
0.634,0.995,1.884,99.976,0.262,0.0579,9,0ojP7HmCeflp0I0ZUmT8JI
0.749,0.84,-3.926,102.829,0.118,0.0609,9,1awFS7E8LutYumdpdYGq7M
0.467,0.998,-2.813,160.023,0.042,0.00549,15,1oe3wAz4XvMtn6nFoldM1w
0.415,0.991,-0.984,95.1,0.0689,0.164,9,28xaU1zdGofWCsxKwvIZ2o
0.686,0.926,-1.755,100.024,0.377,0.0952,9,2YV9sAhCtOC0ybKcFjHErO
0.641,0.98,-0.82,99.977,0.182,0.00246,9,6ckT6ox1soFZMQluYlF6uG
0.417,0.967,-1.214,180.015,0.101,0.0117,15,4jnzaXsBg7Y938Q7Po9LFd
0.509,0.946,-1.521,93.962,0.0971,0.0129,9,1zdCuA3OezPXkK2raYt0BY
0.527,0.926,-4.373,94.977,0.0969,0.00451,9,6z0i14WyHNAdQq889bnSu8
0.561,0.932,-2.936,95.006,0.18,0.109,9,0rZBe91kLd0h85B9e7T3vR
0.487,0.911,-4.89,159.946,0.13,0.00161,15,5Th8O9vWzImhIqb1kO8TLE
0.316,0.956,-2.31,96.868,0.181,0.0762,9,7hRfEhxrcO80pJUmrT59kr
0.384,0.968,-2.173,180.094,0.226,0.00437,15,0EpqkTQgogq6iHpeOwEoGh
0.58,0.932,-1.884,169.982,0.548,0.0101,10,5BQxtpXiJFMCqjKFklX7xo
0.602,0.952,-3.155,97.543,0.193,0.00205,9,6Zvj3BSyp3lwyw9uSqsGpr
0.618,0.994,0.217,179.939,0.0715,0.114,15,17RJrhF02qbO7jN0jU5mdQ
0.544,0.99,-2.571,92.46,0.108,0.00228,9,675l6GVF65IS81eznAR2po
0.58,0.994,-1.809,170.029,0.389,0.0786,10,5cfYYPJJku0DQI22bKJ2og
0.467,0.97,-2.03,160.013,0.0886,0.00828,15,2sruUp3twkNTByH73uIpeY
0.552,0.893,-4.761,95.037,0.31,0.00862,9,4ucb4VSNPP6zctQqnnubpb
0.575,0.936,-2.834,105.01,0.338,0.00586,9,5O9mjAGrtDPTgque6qZWn8
0.577,0.997,0.406,190.01,0.101,0.117,15,3og4g4ASh85aYNRTHzX0gO
0.687,0.927,-1.049,102.544,0.0845,0.0233,9,5pgQRiuJ0dKnimS6wkpNfA
0.529,0.968,-3.029,95.014,0.129,0.0427,9,0OT4p81EBNnYoxWcPQM7wk
0.567,0.997,-2.053,155.008,0.0438,0.302,15,2Jum2ypFvxaNcLWHUyi17g
0.643,0.953,-2.199,95.029,0.0343,0.0709,9,0I6ZUfEYKF37J8UQhIVKBg
0.488,0.856,-4.672,170.0,0.119,0.0825,15,0L4i68FCrTrwev3PxUUpQt
0.479,0.98,-5.399,158.082,0.246,6.8e-05,15,2K4gRuinu1DlimC30iJLNb
0.569,0.993,0.257,100.042,0.109,0.00705,9,2MQgYQVaVBexty64nnPh7t
0.532,0.977,-0.778,102.45,0.0807,0.00572,9,3GfmmpnJql1SqFBmJNPYVd
0.479,0.978,-3.366,179.948,0.187,0.205,15,56tEduBCyWPZ3gVAWONJCu
0.638,0.983,2.261,102.537,0.194,0.0824,9,3tVjdIKhtgAVy3BNWH1WpZ
0.525,0.968,-1.497,169.978,0.439,0.00436,10,5rNTq1vr12Iat2C34SuJ35
0.504,0.982,-0.928,102.447,0.144,0.0269,9,59X0xMrPXXexh70B8unJpc
0.537,0.999,-1.175,159.929,0.277,0.136,15,1aj0Wx51HvxGj1dnDFNEnm
0.572,0.987,-0.116,100.007,0.0369,0.0205,9,2wVnIK8OHuNAvmvq30EsSt
0.554,0.972,-1.251,95.046,0.35,0.0259,9,03pFdMTSGSDtCKlzUfD0Q5
0.387,0.998,0.458,180.07,0.173,0.002,15,2NRNiUqKzAAt2CQL1FWSMU
0.439,0.97,-3.345,180.043,0.174,0.00402,15,1A86wZUo1CsjqycCQ8glen
0.484,0.997,-3.674,94.863,0.0993,0.00103,9,7acXF1WBYmFqqbgExXLQ98
0.488,0.954,-0.632,175.026,0.172,0.000531,15,1x9rkrQm68ZzhiO680mrS8
0.392,0.964,-2.228,200.05,0.289,0.0565,15,3pG4KAfjRpnfezGwDiN2mY
0.683,0.983,2.067,107.599,0.0537,0.00714,9,2k1ryKenp09dbxj28AYhXU
0.407,0.995,-0.15,179.942,0.261,0.00466,15,6yY0KTwtGv0F8xmKLsRXsk
0.51,0.914,-4.672,155.028,0.183,0.00646,15,434lnuoFk5IA3xJnnF3esF
0.498,0.949,-2.486,175.027,0.28,0.0161,15,6MHMcWZdrG6ZqqNdfLh2RM
0.589,0.991,-1.149,95.03,0.0769,0.177,9,1kiI7G35IZs0u4vtKX2Mne
0.315,0.952,-3.094,199.695,0.0661,0.0439,15,4bLBf2HAZj2X8ENelaqWnW
0.635,0.982,-2.016,97.505,0.243,0.0563,9,2I4sZzFKCPdTVlKrUka1mO
0.49,0.984,-1.589,100.108,0.0601,0.121,9,5RE1AIUAPa86jKiRENCpQG
0.749,0.943,0.139,102.482,0.336,0.0683,9,67pe3dZk02n1cXjtPbXuHh
0.445,0.537,-8.532,122.769,0.131,0.695,12,3JvKfv6T31zO0ini8iNItO
0.532,0.623,-9.208,89.937,0.403,0.538,5,3hUxzQpSfdDqwM3ZTFQY0K
0.351,0.296,-10.109,115.284,0.12,0.934,13,0u2P5u6lvoDfwTYjAADbn4
0.691,0.631,-6.478,92.004,0.8,0.0483,19,086myS9r57YsLbJpU0TgK9
0.612,0.28,-8.648,72.795,0.387,0.932,5,0nJW01T7XtvILxQgC5J7Wh
0.357,0.425,-7.301,102.078,0.27,0.584,12,4xqrdfXkTW4T0RauPLv3WA
0.338,0.562,-7.181,149.907,0.259,0.039,8,0otRX6Z89qKkHkQ9OqJpKt
0.362,0.54,-6.031,78.007,0.3,0.338,12,1ei3hzQmrgealgRKFxIcWn
0.631,0.518,-8.771,93.023,0.205,0.274,0,5enxwA8aAbwZbf5qCHORXi
0.681,0.372,-8.237,91.873,0.476,0.64,5,1mXVgsBdtIVeCLJnSnmtdV
0.614,0.379,-10.48,107.989,0.201,0.607,16,1HNkqx9Ahdgi1Ixy2xkKkL
0.573,0.422,-7.621,124.357,0.693,0.551,5,26b3oVLrRUaaybJulow9kz
0.704,0.225,-14.454,120.006,0.243,0.902,16,3ZCTVFBt2Brf31RLEnCkWJ
0.667,0.373,-9.389,124.148,0.0823,0.785,16,45bE4HXI0AwGZXfZtMp8JR
0.209,0.417,-8.74,138.178,0.124,0.164,8,7LVHVU3tWfcxj5aiPFEW4Q
0.677,0.485,-5.795,82.001,0.493,0.529,5,7795WJLVKJoAyVoOtCWqXN
0.406,0.399,-10.449,142.83,0.163,0.756,8,3p4hRhMcb6ch8OLtATMaLw
0.367,0.111,-14.084,82.642,0.198,0.978,6,43zdsphuZLzwA9k4DJhU0I
0.516,0.595,-4.63,119.972,0.222,0.0275,3,5Ohxk2dO5COHF1krpoPigN
0.575,0.386,-9.584,116.408,0.466,0.785,5,2ZWlPOoWh0626oTaHrnl2a
0.793,0.52,-7.457,107.014,0.309,0.246,19,3p7XQpdt8Dr6oMXSvRZ9bg
0.726,0.431,-8.765,144.026,0.348,0.731,16,7eJMfftS33KTjuF7lTsMCx
0.609,0.444,-9.129,118.402,0.166,0.603,16,3XVBdLihbNbxUwZosxcGuJ
0.188,0.411,-9.733,187.376,0.159,0.174,8,0NlGoUyOJSuSHmngoibVAs
0.311,0.485,-5.726,77.355,0.225,0.701,12,55Am8neGJkdj2ADaM3aw5H
0.298,0.38,-8.426,75.602,0.152,0.778,12,4pvb0WLRcMtbPGmtejJJ6y
0.681,0.174,-8.745,112.672,0.231,0.837,16,2BOqDYLOJBiMOXShCV1neZ
0.662,0.714,-5.68,147.997,0.464,0.312,10,52okn5MNA47tk87PeZJLEL
0.544,0.369,-9.514,87.01,0.102,0.969,18,3hRV0jL3vUpRrcy398teAU
0.556,0.538,-5.408,143.95,0.291,0.0689,3,75ZvA4QfFiZvzhj2xkaWAh
0.696,0.543,-6.164,107.969,0.479,0.308,0,0VhgEqMTNZwYL1ARDLLNCX
0.559,0.31,-10.445,119.845,0.46,0.881,16,2NmsngXHeC1GQ9wWrzhOMf
0.628,0.639,-5.46,108.045,0.493,0.00162,0,6KfoDhO4XUWSbnyKjNp9c4
0.435,0.104,-22.39,120.484,0.162,0.973,1,5Qnrgqy1pAm9GyNQOgyVFz
0.329,0.235,-7.699,171.006,0.22,0.918,8,69vToJ9BMbbLlFZo7k7A7B
0.629,0.328,-8.284,74.953,0.389,0.768,5,1TQXIltqoZ5XXyfCbAeSQQ
0.376,0.695,-4.782,169.533,0.302,0.135,15,5yVIlYEHZxQVLyInCdldoS
0.522,0.385,-7.355,89.792,0.236,0.536,12,2RttW7RAu5nOAfq6YFvApB
0.688,0.53,-5.507,106.958,0.162,0.443,0,60iSKGrGazRzICtMjADNSM
0.492,0.275,-13.4,92.6,0.18,0.687,18,7vRriwrloYVaoAe3a9wJHe
0.63,0.53,-7.259,108.038,0.417,0.4,0,2YlZnw2ikdb837oKMKjBkW
0.666,0.423,-8.012,129.89,0.154,0.494,16,7dZ1Odmx9jWIweQSatnRqo
0.492,0.26,-17.341,111.519,0.312,0.646,1,047fCsbO4NdmwCBn8pcUXl
0.331,0.341,-6.057,109.821,0.152,0.528,12,0DuWDLjriRPjDRoPgaCslY
0.507,0.204,-11.575,77.765,0.343,0.855,18,1ugQtcwmKOXvKAYzhjncmv
0.574,0.329,-6.829,130.993,0.356,0.22,3,2afCBiru10AFckfOa49wIa
0.38,0.219,-13.273,73.537,0.0517,0.917,6,73SpzrcaHk0RQPFP73vqVR
0.599,0.465,-4.95,113.82,0.0678,0.643,16,50Td3qilgs8BLtv8mHyT1t
0.678,0.355,-7.757,119.772,0.438,0.759,16,6qBFSepqLCuh5tehehc1bd
0.479,0.545,-7.346,74.897,0.244,0.365,12,5rEvuW4YhwobKwGL1HPrXA
0.609,0.619,-5.677,179.71,0.689,0.749,7,3M214U0mwSm041GsQR3nrO
0.589,0.242,-10.517,89.749,0.257,0.914,18,4VuS959DSpr82t3qBqCrWG
0.437,0.565,-5.596,115.389,0.306,0.697,12,6v0UJD4a2FtleHeSYVX02A
0.319,0.0561,-23.023,79.764,0.082,0.935,6,0tMSssfxAL2oV8Vri0mFHE
0.439,0.153,-8.95,116.76,0.104,0.874,13,4G92yYrUs0cvY7G41YRI0z
0.701,0.728,-5.226,91.071,0.696,0.0178,19,0kn2gu8Pd03DiYHzRvX2Xk
0.41,0.0485,-13.918,137.97,0.247,0.947,13,6yIHGmQLJxWAUZ1ZkENemN
0.667,0.361,-8.69,134.018,0.29,0.575,16,2jdAk8ATWIL3dwT47XpRfu
0.376,0.595,-5.936,144.361,0.265,0.303,8,6O5TrlFWTYvznd9fMC0VvU
0.5,0.292,-8.554,145.879,0.37,0.746,16,6soW9pvcXoYrnyVmTC9ErH
0.709,0.22,-11.856,110.076,0.53,0.811,5,0TAmnCzOtqRfvA38DDLTjj
0.389,0.665,-6.169,117.055,0.199,0.178,12,1RGsZfUwt2a6yLzL2yoj1X
0.646,0.355,-7.119,84.988,0.364,0.873,5,12OLyHDxt6dqlAybSPFBK3
0.445,0.179,-12.938,72.246,0.119,0.952,18,4KlL5Bwlm4yHYxr0B2rHci
0.306,0.121,-17.118,159.08,0.238,0.863,17,1veHwv1HPwzOvlhs5jPxeP
0.561,0.0848,-15.099,102.128,0.206,0.913,1,4CxFN5zON70B3VOPBYbd6P
0.349,0.348,-6.142,74.541,0.0886,0.726,12,7p8wAUDFBSWPMh2KxfUDQk
0.593,0.2,-11.063,83.966,0.17,0.904,18,3xXBsjrbG1xQIm1xv1cKOt
0.565,0.546,-7.496,139.757,0.195,0.189,3,0R8P9KfGJCDULmlEoBagcO
0.587,0.229,-11.254,75.67,0.379,0.92,18,6Kkt27YmFyIFrcX3QXFi2o
0.559,0.422,-11.89,74.002,0.191,0.701,18,0Eqg0CQ7bK3RQIMPw1A7pl
0.503,0.358,-8.158,105.121,0.179,0.401,12,2Kqw2ECnErSCU9bxPSVgGx
0.379,0.29,-8.485,166.467,0.169,0.952,8,6k8kLJFmWkHaTbSLUhJ3H0
0.315,0.296,-13.262,173.509,0.435,0.771,17,4LloVtxNZpeh7q7xdi1DQc
0.796,0.477,-7.161,119.928,0.685,0.314,19,7z3N2W7Xz1t2G2sAO8wFVH
0.681,0.453,-6.09,125.772,0.348,0.263,2,0TXNKTzawI6VgLoA9UauRp
0.63,0.5,-8.755,144.871,0.315,0.611,16,6y6jbcPG4Yn3Du4moXaenr
0.632,0.337,-8.0,141.701,0.0982,0.558,16,0pSqYDTjY1Xt86usTQslAx
0.562,0.437,-10.229,124.852,0.15,0.219,3,6K8VQ84MqhsoakN5MjrnVR
0.592,0.256,-14.031,76.358,0.103,0.842,18,1HkOPLwAJH3kE8UnqgxF4s
0.436,0.153,-9.522,71.684,0.415,0.911,18,4Ey0LK1HzksUqm9JLzzKuD
0.586,0.624,-5.946,68.976,0.267,0.0153,0,6lOWoTqVnAWXchddtTH31W
0.753,0.326,-9.883,123.799,0.237,0.731,16,3SktMqZmo3M9zbB7oKMIF7
0.773,0.437,-8.281,103.861,0.707,0.836,5,75ls0gurX68lUmMjE7QcsE
0.398,0.316,-7.031,118.582,0.174,0.805,12,0tV8pOpiNsKqUys0ilUcXz
0.618,0.793,-5.711,101.015,0.459,0.204,0,4m0q0xQ2BNl9SCAGKyfiGZ
0.584,0.576,-4.557,170.026,0.432,0.507,10,28a0aMV1OKoyNiCJuNsWrY
0.6,0.389,-5.727,143.577,0.244,0.566,16,0XER3HPMx223xWaAgNKp4Y
0.576,0.835,-6.826,150.017,0.476,0.337,10,0M3HkE321xpCbCYqVKzr1q
0.501,0.405,-5.679,109.891,0.446,0.751,5,2TIlqbIneP0ZY1O0EzYLlc
0.588,0.391,-8.607,144.069,0.349,0.839,16,13xxBnXOuiBxVxJI458B0i
0.684,0.449,-9.738,66.165,0.341,0.869,5,6Z165JvPnS8PYvGW8oLGLc
0.513,0.25,-9.376,74.103,0.351,0.913,18,44n97yHySt0Z9rqPaXgjCK
0.591,0.28,-5.494,141.916,0.348,0.889,16,6DEMMeWXfmFAXgDUMMzeg6
0.51,0.643,-6.602,130.081,0.0397,0.214,3,5DHQKZCOZhGNTbYBCekWx0
0.405,0.111,-11.879,116.86,0.219,0.964,13,5sF7hdYvhrcgNq8NZjfK8L
0.307,0.371,-8.498,115.241,0.189,0.923,12,2kfGoV9a5dbSKCNmUWH2ZF
0.402,0.151,-14.228,144.071,0.489,0.907,17,0DGh73t9eaZA3X3ZXHf4Qe
0.447,0.694,-4.637,175.868,0.509,0.0293,10,6RX5iL93VZ5fKmyvNXvF1r
0.301,0.672,-4.497,169.497,0.384,0.28,8,31VOknKjFrEX47bZXzqcoF
0.71,0.0565,-15.099,123.994,0.348,0.965,16,4h0zU3O9R5xzuTmNO7dNDU
0.481,0.267,-9.249,117.64,0.137,0.8,13,4WzhjxvLP95y7AMDy0Atwb
0.407,0.416,-8.915,176.947,0.246,0.656,8,6ATgDc6e4sPn84hvJsAmPt
0.797,0.44,-6.587,111.014,0.436,0.471,19,0dkvbYmXYEPK7gGMdytmfI
0.546,0.311,-10.396,147.464,0.246,0.818,16,40EB7ABUO6MoWMUwPKptJ7
0.519,0.383,-7.174,144.565,0.157,0.572,8,03zuGqxMwUFFmCwusq0WKE
